name,常住人口2010,订单数,包邮率,城市简称,省,城市等级,lng,lat,区域
南昌市,5042566,1133583,0.9769483134450676,南昌市,江西省,三线及以下,116.0256984,28.65984184,华中
吉安市,4810339,300684,0.9800554735203736,吉安市,江西省,三线及以下,114.8224839,26.97196863,华中
宜春市,5419591,346005,0.9806765798182108,宜春市,江西省,三线及以下,114.9724225,28.30590511,华中
抚州市,3912307,262886,0.9814976834064956,抚州市,江西省,三线及以下,116.4338803,27.50791589,华中
新余市,1138874,102382,0.9764118692738958,新余市,江西省,三线及以下,114.8514443,27.84510274,华中
景德镇市,1587477,167291,0.9786121190022176,景德镇市,江西省,三线及以下,117.2708851,29.30768874,华中
萍乡市,1854515,141501,0.977392385919534,萍乡市,江西省,三线及以下,113.9029998,27.51234956,华中
赣州市,8368447,648983,0.978692816298732,赣州市,江西省,三线及以下,115.2705495,25.70750783,华中
鹰潭市,1125156,99787,0.9800675438684398,鹰潭市,江西省,三线及以下,117.1079945,28.22377781,华中
保定市,11194382,871743,0.9744569213632917,保定市,河北省,三线及以下,115.1701109,39.02069495,华北
唐山市,7577289,694058,0.9737168939771604,唐山市,河北省,三线及以下,118.3353402,39.75272648,华北
廊坊市,4358839,654060,0.9690273063633306,廊坊市,河北省,三线及以下,116.6262747,39.2570105,华北
张家口市,4345485,378607,0.9748446278066702,张家口市,河北省,三线及以下,115.031463,40.86153018,华北
承德市,3473201,260506,0.9710332967378872,承德市,河北省,三线及以下,117.5523625,41.34311891,华北
沧州市,7134062,529138,0.9755734798861544,沧州市,河北省,三线及以下,116.7490631,38.26459654,华北
石家庄市,10163788,1270231,0.9756933975001396,石家庄市,河北省,三线及以下,114.4402371,38.13159084,华北
秦皇岛市,2987605,336372,0.9732736375203644,秦皇岛市,河北省,三线及以下,119.1839067,40.08709955,华北
衡水市,4340773,271716,0.9787903546349864,衡水市,河北省,三线及以下,115.8239009,37.76137575,华北
邢台市,7104103,412962,0.979453315317148,邢台市,河北省,三线及以下,114.8153213,37.21273351,华北
邯郸市,9174683,535820,0.97693255197641,邯郸市,河北省,三线及以下,114.5430155,36.55331222,华北
三门峡市,2234018,136757,0.9797524075550064,三门峡市,河南省,三线及以下,111.103953,34.35985068,华中
信阳市,6109106,415726,0.9806146356013336,信阳市,河南省,三线及以下,114.8832978,32.08176663,华中
南阳市,10263660,491513,0.9797116251248696,南阳市,河南省,三线及以下,112.2857591,33.04342352,华中
周口市,8953793,428532,0.98283908786275,周口市,河南省,三线及以下,114.8780189,33.72186816,华中
